Date,Staff Gauge (cm),Rain Gauge (mm),Water Temp (°C),Air Temp (°C),Daily Escapement
6/30/2022,27,0,17,14,0
7/1/2022,27,0,16,13,0
7/2/2022,25,0,17,14,0
7/3/2022,25,0,17,13,0
7/4/2022,24,0,17,15,0
7/5/2022,23,0,17,14,0
7/6/2022,23,0,17.5,15,0
7/7/2022,22,0,17,15,0
7/8/2022,21,0.25,17,15,0
7/9/2022,21,1,16.5,13.5,0
7/10/2022,23,16.5,15.5,12,0
7/11/2022,36,55,14.5,12,0
7/12/2022,50,63,15,12,0
7/13/2022,45,62,15,14,1
7/14/2022,41,64,16,17,0
7/15/2022,37,62,16.5,16.5,0
7/16/2022,32,65,17,14,3
7/17/2022,34,82,16,12,1
7/18/2022,53,110,17,12,20
7/19/2022,56,6,16,13,10
7/20/2022,53,15,15,11,23
7/21/2022,55,33,15,12,50
7/22/2022,51,34,15,12,42
7/23/2022,62,62,16,13,105
7/24/2022,71,91,14.5,13,113
7/25/2022,71,108,15,14,19
7/26/2022,64,12,15,14,12
7/27/2022,59,13,15.5,14,30
7/28/2022,58,35,16,15,96
7/29/2022,69,58,15.5,16,312
7/30/2022,58,62,16,16,164
7/31/2022,52,70,16.5,13,55
8/1/2022,54,77,16,14,175
8/2/2022,55,92,16,13,54
8/3/2022,60,103,15.5,13,21
8/4/2022,52,106,17,14,20
8/5/2022,44,109,17,13,4
8/6/2022,100,,,,0
8/7/2022,100,,,,0
8/8/2022,66,112,15,16,89
8/9/2022,54,1,15,14,43
8/10/2022,46,4,15,13,61
8/11/2022,44,12,15,15,29
8/12/2022,42,14,16,16,34
8/13/2022,40,16,16,14,135
8/14/2022,37,17.5,16,14,59
8/15/2022,40,26,16,19,0
8/16/2022,40,29,15.5,14,21
8/17/2022,77,80,15,14,178
8/18/2022,76,19,15,17,9
8/19/2022,59,18,16,16.5,2
8/20/2022,49,18,17,18,18
8/21/2022,42,18,17.5,16.5,7
8/22/2022,37,18,18,17,7
8/23/2022,34,18,18,17,4
8/24/2022,33,27,17,18.5,26
8/25/2022,36,40,17,15,80
8/26/2022,35,40,17,16,11
8/27/2022,45,56,17,15,43
8/28/2022,46,59,17,15,32
8/29/2022,55,90,16,14.5,37
8/30/2022,52,6,16,14,8
8/31/2022,59,30,15.5,14.5,17
9/1/2022,51,30,15.5,13,3
9/2/2022,60,62,15,13.5,1
9/3/2022,72,40,15,14,3
9/4/2022,64,53,14,12.5,2
9/5/2022,60,65,15,11,0
