Date,Staff Gauge (cm),Rain Gauge (mm),Water Temp (°C),Air Temp (°C),Daily Escapement
6/29/2019,31,0,,,0
6/30/2019,29,0,,,0
7/1/2019,29,0,,,0
7/2/2019,28,1,,,0
7/3/2019,27,1.75,,,0
7/4/2019,27,2,,,0
7/5/2019,27,2,,,0
7/6/2019,26,1.75,,,0
7/7/2019,25,1.75,,,0
7/8/2019,25,1.75,,,0
7/9/2019,25,2.25,,,0
7/10/2019,25,2.25,,,0
7/11/2019,24,2.25,,,0
7/12/2019,26,5.5,,,0
7/13/2019,26,7,,,0
7/14/2019,26,7,,,0
7/15/2019,25,7,,,0
7/16/2019,26,8,,,0
7/17/2019,27,24,,,0
7/18/2019,27,35,,,0
7/19/2019,32,45,,,0
7/20/2019,37,53,,,2
7/21/2019,39,55,,,3
7/22/2019,38,55,,,5
7/23/2019,37,57,,,1
7/24/2019,35,59,,,0
7/25/2019,34,65,,,0
7/26/2019,35,71,,,0
7/27/2019,35,75,,,5
7/28/2019,51,99,,,459
7/29/2019,62,7.5,,,730
7/30/2019,55,11.5,,,66
7/31/2019,51,12,,,106
8/1/2019,45,12,,,40
8/2/2019,40,12,,,7
8/3/2019,37,12,,,5
8/4/2019,35,12,,,3
8/5/2019,32,12,,,0
8/6/2019,31,12,,,0
8/7/2019,30,12,,,24
8/8/2019,30,12,,,4
8/9/2019,29,12,,,5
8/10/2019,28,12,,,0
8/11/2019,27,12,,,0
8/12/2019,27,11,,,2
8/13/2019,27,11,,,1
8/14/2019,26,11,,,0
8/15/2019,27,14,,,0
8/16/2019,27,16,,,0
8/17/2019,27,26,,,1
8/18/2019,27,27,,,4
8/19/2019,27,27,,,0
8/20/2019,27,27,,,0
8/21/2019,27,26,,,5
8/22/2019,27,30,,,11
8/23/2019,31,54,,,346
8/24/2019,33,57,,,335
8/25/2019,34,58,,,15
8/26/2019,34,58,,,15
8/27/2019,58,108,,,614
8/28/2019,61,9,,,59
8/29/2019,54,8,,,5
8/30/2019,48,8,,,23
8/31/2019,42,8,,,18
9/1/2019,39,8.5,,,22
9/2/2019,38,14,,,7
9/3/2019,60,56,,,83
9/4/2019,56,60,,,2
9/5/2019,50,61,,,2
9/6/2019,46,60,,,1
9/7/2019,40,60,,,0
9/8/2019,38,60,,,0
