Date,Staff Gauge (cm),Rain Gauge (mm),Water Temp (°C),Air Temp (°C),Daily Escapement
6/28/2014,41.5,0,15.3,13.3,0
6/29/2014,38.5,0.75,15.7,14,0
6/30/2014,38,14.25,15.6,13.9,0
7/1/2014,39,8,15.9,13.5,0
7/2/2014,38,0,16.3,15.6,0
7/3/2014,37,1.5,16,13.3,0
7/4/2014,35,0,16.5,13.8,0
7/5/2014,34,0,17,14.8,0
7/6/2014,33.5,0,16.5,14.8,0
7/7/2014,30,0,16.7,14.3,0
7/8/2014,41,32,15.8,12.8,6
7/9/2014,50,11,15.8,13.4,93
7/10/2014,53,13,15.8,14.6,4
7/11/2014,49.5,7,15.9,12.6,0
7/12/2014,62.5,46,15.6,14.1,138
7/13/2014,65,40.5,15.6,14.2,108
7/14/2014,55,4.5,15.9,14.2,0
7/15/2014,49,5,13.5,14.4,0
7/16/2014,44,4,15.6,15,0
7/17/2014,40,0,15.8,15.5,0
7/18/2014,48,6,15.8,15.5,4
7/19/2014,36,2,15.9,13.8,0
7/20/2014,38,1,15.3,13.3,0
7/21/2014,38,16,15.6,18.8,0
7/22/2014,38,0,16.2,15.5,0
7/23/2014,36,0,16.8,20,0
7/24/2014,34,0,16.5,13.7,0
7/25/2014,33.5,3,15.6,12.6,0
7/26/2014,37.5,12,15.4,13.7,6
7/27/2014,53,28,15.4,16.2,59
7/28/2014,50,8,15.7,14.1,71
7/29/2014,54,20,15.4,12.4,52
7/30/2014,51,11,15.5,13.4,13
7/31/2014,45,0,15.6,12,1
8/1/2014,41.5,0,17.1,14.6,17
8/2/2014,38,0,18,14.1,25
8/3/2014,35,0,18,14.6,29
8/4/2014,34,1,17.6,14.5,38
8/5/2014,33,0,17.2,14.4,24
8/6/2014,33,8,15,18.8,38
8/7/2014,33,0,17.9,16.3,74
8/8/2014,33,0,16.4,13.1,59
8/9/2014,33.5,7,15.9,13.2,135
8/10/2014,62,63,15.5,14.7,421
8/11/2014,68.5,32.5,15.7,14.7,747
8/12/2014,64,28.5,16.2,15.7,22
8/13/2014,56,3,16.2,13.5,334
8/14/2014,65,36,16,15,36
8/15/2014,68.5,39,15.6,14.2,306
8/16/2014,60,1,15.6,13.8,37
8/17/2014,73,68,15.1,14.6,1
8/18/2014,82,51,,,0
8/19/2014,63,51,15.4,14.1,0
8/20/2014,52,0,15.9,16.5,18
8/21/2014,46,0,17,17.1,2
8/22/2014,42,0,16.4,14.2,5
8/23/2014,39,2,16.9,15.6,2
8/24/2014,37.5,0,16.4,13.5,0
8/25/2014,44,29,16.1,15,49
8/26/2014,48,10.5,15.8,13.2,34
8/27/2014,49,7.5,15.9,14,51
8/28/2014,46,0.5,15.5,12,5
8/29/2014,43,4,14.5,11.5,26
8/30/2014,40,3,14.3,12.7,12
8/31/2014,46,25,14,11.8,17
9/1/2014,47,11,14.3,14,21
9/2/2014,45,1,14.4,12.8,4
9/3/2014,43,7,14.6,13.4,13
9/4/2014,43,2,14.8,13.5,0
9/5/2014,60,31,14.7,13.8,18
