Date,Staff Gauge (cm),Rain Gauge (mm),Water Temp (°C),Air Temp (°C),Daily Escapement
7/1/2017,34.5,14,11,11.5,2
7/2/2017,45,30,11,9,0
7/3/2017,55,44,11,11,5
7/4/2017,53,50,11,9,0
7/5/2017,48,50,11,8,1
7/6/2017,42,50,15.6,13.6,0
7/7/2017,38,50,15.6,12.2,15
7/8/2017,35,51,15.4,11.8,0
7/9/2017,32.5,63,14.9,11.2,0
7/10/2017,43,71,14.7,11,0
7/11/2017,42,74,15.3,11.5,0
7/12/2017,41,84,14.8,11.9,0
7/13/2017,42,95,14.9,12.4,0
7/14/2017,40.5,3.5,14.9,12.7,1
7/15/2017,39,5.5,15.8,10.1,0
7/16/2017,41.5,21,14.4,11.6,5
7/17/2017,50,27.5,14.7,12.5,5
7/18/2017,45,29,15,12.2,145
7/19/2017,42,33,15,12.5,1
7/20/2017,39.5,33,15.4,12.8,1
7/21/2017,37,32.5,15.5,13.2,1
7/22/2017,34.5,38,15,13.9,17
7/23/2017,41,50,15.2,12.9,0
7/24/2017,39,50,15,11.9,3
7/25/2017,35.5,49,15.4,13,0
7/26/2017,33,51,13,12,0
7/27/2017,32.5,56,14,11,2
7/28/2017,31.5,57,13,11,1
7/29/2017,32,59,13,11,6
7/30/2017,32,62,13,11,0
7/31/2017,33,70,13,12,1
8/1/2017,36.5,70,14,13,10
8/2/2017,35,70,15,13,46
8/3/2017,33,70,15,13,57
8/4/2017,31,72,18,15.5,234
8/5/2017,30,71,18,14,102
8/6/2017,28.5,70,18,14.5,5
8/7/2017,29,71,18,15,3
8/8/2017,27,71,18,16,0
8/9/2017,27,70,17.5,14.5,0
8/10/2017,25.5,69,18.5,17,0
8/11/2017,25,69,18,16,0
8/12/2017,25,74,17,14,0
8/13/2017,25,78,17,15,0
8/14/2017,26.5,88,15.5,12,1
8/15/2017,30,88,16.5,14,50
8/16/2017,33.5,98,16,14,149
8/17/2017,77,157,15,12.5,1235
8/18/2017,84,52,15.5,14.5,1208
8/19/2017,66.5,69,15.5,12.5,147
8/20/2017,59,80,15,12,51
8/21/2017,56,99,14.5,13.5,37
8/22/2017,52,109,15,13.5,13
8/23/2017,49,4,14.5,11.5,11
8/24/2017,42.5,5,15,12,7
8/25/2017,42,18,15,12,1
8/26/2017,51.5,41,14,11,2
8/27/2017,55.5,57,14,13.5,22
8/28/2017,50,59,14,12,13
8/29/2017,43,60,15,16,14
8/30/2017,40.5,69,15,13,2
8/31/2017,65,112,14.5,13,116
9/1/2017,66,132,14,13.5,97
9/2/2017,55,4.5,14.5,11,10
9/3/2017,46,4.5,13.5,10.5,5
9/4/2017,60,50,14,13.5,25
9/5/2017,85,108,14.5,16.5,13
