Date,Staff Gauge (cm),Rain Gauge (mm),Water Temp (°C),Air Temp (°C),Daily Escapement
7/1/2015,29,0,17.2,13.9,0
7/2/2015,36,28.5,15,11.1,22
7/3/2015,42,2.5,15.1,12.3,18
7/4/2015,39,0,15.3,12.6,0
7/5/2015,34,0,17.3,16.3,0
7/6/2015,32,0,18.2,15.3,3
7/7/2015,29,1,18.8,15.9,0
7/8/2015,26,1,17.4,16.3,1
7/9/2015,29.5,18,17.2,14.9,2
7/10/2015,32,6,17.2,14.1,2
7/11/2015,37,16,16.9,13.7,115
7/12/2015,42,3,17.2,15.1,12
7/13/2015,43,18,17.1,13.4,102
7/14/2015,46,16,16.7,14,214
7/15/2015,48,26,17.1,14.5,9
7/16/2015,44,2,16.5,12.8,72
7/17/2015,66,65,15.8,14,269
7/18/2015,84,14,15.4,13.8,45
7/19/2015,63,5.5,15.9,12.8,90
7/20/2015,58,5.5,15.3,13.9,78
7/21/2015,48,1,15.9,14.5,21
7/22/2015,41,1,16,13.4,15
7/23/2015,36,5,15.9,13,3
7/24/2015,42,30,15.6,1.6,113
7/25/2015,39.5,0,15.6,14.2,6
7/26/2015,35,0,15.9,13.8,35
7/27/2015,47,38,15.1,13.6,47
7/28/2015,68,46,14.4,12.6,270
7/29/2015,64,33,15.6,14.6,23
7/30/2015,63,26,14.6,13.6,21
7/31/2015,50,11,14.9,13.3,32
8/1/2015,45,6,15.3,13.5,18
8/2/2015,39,1,16.1,13.9,18
8/3/2015,34,0,17.3,17.8,2
8/4/2015,31,0,17.5,14.3,0
8/5/2015,28,0,17.8,15.1,1
8/6/2015,27,4,16.9,14.5,2
8/7/2015,27,4,16.9,15.6,0
8/8/2015,26,0,16.9,15.2,7
8/9/2015,25,0,16.5,14.7,2
8/10/2015,24,7,16,14,5
8/11/2015,42,34,15.6,13.4,125
8/12/2015,53,21,15.8,14.4,131
8/13/2015,52,18,16.2,15.9,114
8/14/2015,43,0,16.5,14.5,85
8/15/2015,37,0,16.8,14.7,90
8/16/2015,32,2,17.1,14.4,83
8/17/2015,31,6,16.9,15,34
8/18/2015,86,107,15.5,14.6,0
8/19/2015,76,6,15.4,14.4,8
8/20/2015,60,11,15.6,14.1,1
8/21/2015,50,0,15.7,13.1,8
8/22/2015,43,12,15.8,14.2,2
8/23/2015,66,72,13.8,12.5,4
8/24/2015,70,48,13.6,12.4,15
8/25/2015,52,3,13.5,10,3
8/26/2015,42,0,14.5,10.9,1
8/27/2015,38,5,14.5,12.4,0
8/28/2015,52,43,13.6,11.6,23
8/29/2015,48,19,12.9,10.4,1
8/30/2015,54,46,13,9.7,3
8/31/2015,50,15,12.5,9.5,2
9/1/2015,47,14,11.7,7.2,0
9/2/2015,40,1,11.7,6.8,0
9/3/2015,36,0,12.4,10.6,8
9/4/2015,35,0,13,11,3
9/5/2015,37,3.5,12.9,11.2,10
