Date,Staff Gauge (cm),Rain Gauge (mm),Water Temp (°C),Air Temp (°C),Daily Escapement
6/27/2023,64,,16,14,0
6/28/2023,65,8,16,16,0
6/29/2023,67,10,14,15,0
6/30/2023,66,8,13,10,0
7/1/2023,63,12.5,15,13,0
7/2/2023,58,0,16.7,15.1,0
7/3/2023,54,0,16.4,12.1,0
7/4/2023,49,4,17,14,0
7/5/2023,46,5,16.5,13,2
7/6/2023,43,0,16.1,13.1,0
7/7/2023,41,0,16.7,13.2,0
7/8/2023,39,0,18,14.3,0
7/9/2023,36,0,16,14,0
7/10/2023,36,0,16.3,12.7,0
7/11/2023,33,0,15.6,11.7,0
7/12/2023,32,0,14.9,12.6,0
7/13/2023,30,0,16,14.2,0
7/14/2023,30,0,18.3,17.7,0
7/15/2023,29,0,16.7,15.5,19
7/16/2023,28,0,17.3,15.5,0
7/17/2023,39,1.75,16.9,15.1,0
7/18/2023,29,0,17.1,15.9,0
7/19/2023,31,17,16.5,13.9,0
7/20/2023,32,16,16.6,14.1,0
7/21/2023,31,0.75,17.8,16.5,0
7/22/2023,32,3.5,17.7,15.1,0
7/23/2023,35,4,17.7,14.1,0
7/24/2023,50,22,16.9,12.7,46
7/25/2023,56,0.75,17.6,14.9,44
7/26/2023,52,2.5,17.9,14.1,113
7/27/2023,52,7.5,,,132
7/28/2023,49,0,17.6,14.8,2
7/29/2023,44,0.5,18.1,14.8,85
7/30/2023,42,0,18,15.6,79
7/31/2023,42.5,0,17.8,15.7,2
8/1/2023,39,0,18.2,14.6,0
8/2/2023,40,12,18,15,9
8/3/2023,40,0.75,18.1,14.3,125
8/4/2023,38,0,17.9,12,175
8/5/2023,38,0,19.1,17,299
8/6/2023,37,0,19,16,377
8/7/2023,36,5,19,15,512
8/8/2023,35,7,18,14.3,662
8/9/2023,37,7.5,18,14.7,634
8/10/2023,45,16,17.8,14.8,794
8/11/2023,60,11,17.2,15,313
8/12/2023,76,41,17.2,14.7,67
8/13/2023,110,80,16.7,14.6,146
8/14/2023,83,5,16.5,13.4,96
8/15/2023,79,27,16.2,14.4,117
8/16/2023,90,30,15.8,14.8,203
8/17/2023,85,15,15.5,12.5,82
8/18/2023,76,0.05,16.2,13,90
8/19/2023,64,0,16,13,187
8/20/2023,58,0,16,12,174
8/21/2023,52,0,16,13,146
8/22/2023,47,0,16,14,146
8/23/2023,43,0,16,14,63
8/24/2023,40,0,16,14,133
8/25/2023,38,0,16,13,116
8/26/2023,37,3,17.3,15,463
8/27/2023,36,1,17.1,15,222
8/28/2023,40,0.5,17.2,14.8,167
8/29/2023,37,0,17.1,14.2,21
8/30/2023,38,3.5,16.9,14.8,31
8/31/2023,39,12,16,14,32
9/1/2023,53,18,16,13,156
9/2/2023,65,2,16,13.5,51
9/3/2023,62,38,15,13,8
9/4/2023,61,22,16,12,13
9/5/2023,56,3,15,13,5
