Date,Staff Gauge (cm),Rain Gauge (mm),Water Temp (°C),Air Temp (°C),Daily Escapement
6/29/2020,49,30,,,0
6/30/2020,45,29.5,,,0
7/1/2020,41,29,,,5
7/2/2020,37.5,29,,,0
7/3/2020,33.5,28,,,0
7/4/2020,30,27,,,0
7/5/2020,28,27,,,0
7/6/2020,26,26,,,0
7/7/2020,28,27,,,0
7/8/2020,25,28,,,0
7/9/2020,30,57,,,0
7/10/2020,59,15,,,0
7/11/2020,60,28,,,0
7/12/2020,53,29,,,0
7/13/2020,48,29,,,0
7/14/2020,52,54,,,0
7/15/2020,52,59,,,0
7/16/2020,48.5,59,,,0
7/17/2020,43,59,,,1
7/18/2020,42,72,,,11
7/19/2020,56,18.5,,,98
7/20/2020,74.5,62,,,409
7/21/2020,71,7,,,46
7/22/2020,66,7,,,43
7/23/2020,54,18,,,55
7/24/2020,51,19,,,0
7/25/2020,50,34,,,121
7/26/2020,71,67,,,158
7/27/2020,65,70.5,,,85
7/28/2020,56,71,,,0
7/29/2020,49,1,,,0
7/30/2020,43,1,,,0
7/31/2020,39,1,,,14
8/1/2020,35,7,,,7
8/2/2020,39,27,,,0
8/3/2020,38,26.5,,,0
8/4/2020,37.5,36,,,0
8/5/2020,53,69,,,46
8/6/2020,52,3,,,5
8/7/2020,55,19,,,528
8/8/2020,60,36,,,332
8/9/2020,72,67,,,786
8/10/2020,100,50,,,0
8/11/2020,79,0,,,457
8/12/2020,63,1.25,,,126
8/13/2020,53,1.25,,,1
8/14/2020,58,11,,,5
8/15/2020,47,23,,,144
8/16/2020,50,38,,,41
8/17/2020,48,43,,,7
8/18/2020,45,44,,,22
8/19/2020,40,45,,,2
8/20/2020,39,48,,,31
8/21/2020,36,46.5,,,0
8/22/2020,34.5,53,,,10
8/23/2020,32.5,52,,,4
8/24/2020,32,55,,,20
8/25/2020,32,1.7,,,23
8/26/2020,42,25,,,13
8/27/2020,48,29,,,9
8/28/2020,47,39,,,380
8/29/2020,58,52,,,16
8/30/2020,52,60,,,16
8/31/2020,66,90,,,23
9/1/2020,60,9,,,10
9/2/2020,62,16,,,4
9/3/2020,69,40,,,7
9/4/2020,60,42,,,1
