Date,Staff Gauge (cm),Rain Gauge (mm),Water Temp (°C),Air Temp (°C),Daily Escapement
6/29/2013,32,0,15.5,17,0
6/30/2013,32,3,18,22,0
7/1/2013,34,12.5,18,12,0
7/2/2013,38.5,7.5,17,9.5,0
7/3/2013,50,19,14,11,0
7/4/2013,51,2,16,12.5,0
7/5/2013,48,1,16,12,40
7/6/2013,47,2,16,13,8
7/7/2013,44,0,17,12,8
7/8/2013,58,33,16,10,8
7/9/2013,68,24,15,9,126
7/10/2013,64,14,15,13.5,148
7/11/2013,56,0,15.5,10,133
7/12/2013,50,0,16,11,20
7/13/2013,45,11,16,10,31
7/14/2013,43,2,15.5,12,0
7/15/2013,40,0,16,10.5,0
7/16/2013,39,0,16,15.5,0
7/17/2013,38,0,17,15,0
7/18/2013,37,0.5,19.5,12,0
7/19/2013,36,0,18,14,0
7/20/2013,35,4,18,12.5,0
7/21/2013,36,7,17,10.75,0
7/22/2013,39.5,4.5,18,10.5,0
7/23/2013,45,7.5,16.5,11,0
7/24/2013,48,17,18,13,4
7/25/2013,48,12,18.5,14,73
7/26/2013,45,0,18,13.5,24
7/27/2013,43,1,18,13,5
7/28/2013,40,0,18.5,14,190
7/29/2013,38,0,18.5,13,126
7/30/2013,37,0,18.5,13,156
7/31/2013,35,0,19,17,70
8/1/2013,35,0,19,16.5,89
8/2/2013,35,0,18,13,47
8/3/2013,35,0,18,13,2
8/4/2013,36,9,18,12.5,55
8/5/2013,37,15,19,15.5,158
8/6/2013,38,0,18,16,199
8/7/2013,36.5,0,18.5,15.8,194
8/8/2013,36.5,5,18.5,15.4,249
8/9/2013,37,4.5,18,14.3,462
8/10/2013,38.5,0,17.5,12.1,232
8/11/2013,38.5,0,17,12.9,260
8/12/2013,37.5,0,17.5,13.2,200
8/13/2013,36,0,17.5,13.8,407
8/14/2013,36,0,18.2,16.7,137
8/15/2013,37,0,18.5,13.8,75
8/16/2013,36.5,3.5,18.5,14.4,180
8/17/2013,37,2.5,18,14.2,186
8/18/2013,39,12,17.5,12.4,218
8/19/2013,39.5,0,17.5,12.4,251
8/20/2013,40,0,18,13.1,192
8/21/2013,40,0,18,13.3,213
8/22/2013,39.5,0,17.5,13.1,50
8/23/2013,38,3,17,12.5,89
8/24/2013,40,21,17.5,11.5,572
8/25/2013,54,14.5,16,11.5,425
8/26/2013,50,0.5,16.5,13,360
8/27/2013,47,1,16.5,13.5,24
8/28/2013,46,0,16,11,34
8/29/2013,41,0,17.5,17,9
8/30/2013,41,1,17,14.5,9
8/31/2013,45,9,17,12,21
9/1/2013,74,42,17,11.5,15
9/2/2013,67.5,6,16,10,53
9/3/2013,59,0,16.5,12,2
9/4/2013,57,25,16,11.5,12
9/5/2013,73,24,16,14.6,45
