Date,Staff Gauge (cm),Rain Gauge (mm),Water Temp (°C),Air Temp (°C),Daily Escapement
6/28/2018,30,0,,,0
6/29/2018,31,13,,,0
6/30/2018,35,8,,,0
7/1/2018,39,15,,,0
7/2/2018,36,15,,,0
7/3/2018,34,15,,,0
7/4/2018,33,15,,,0
7/5/2018,31,15,,,0
7/6/2018,31,15,,,0
7/7/2018,30,15,,,0
7/8/2018,30,15,,,0
7/9/2018,30,15,,,0
7/10/2018,29,19,,,0
7/11/2018,31,34,,,0
7/12/2018,46,55,,,1
7/13/2018,46,54,,,3
7/14/2018,41,54,,,4
7/15/2018,40,73,,,0
7/16/2018,64,110,,,52
7/17/2018,58,0,,,23
7/18/2018,47,0,,,8
7/19/2018,47,4,,,3
7/20/2018,41,4,,,0
7/21/2018,38,4,,,0
7/22/2018,35,5,,,0
7/23/2018,33,5,,,0
7/24/2018,31,5,,,0
7/25/2018,30,5,,,0
7/26/2018,30,9,,,0
7/27/2018,28,11,,,0
7/28/2018,29,13,,,0
7/29/2018,27.5,13,,,0
7/30/2018,27,14,,,0
7/31/2018,26.5,14,,,0
8/1/2018,26,15,,,0
8/2/2018,26.5,20,,,0
8/3/2018,26,24,,,0
8/4/2018,26,25,,,0
8/5/2018,26,25,,,0
8/6/2018,29,25,,,0
8/7/2018,28,36,,,0
8/8/2018,66,100,,,1024
8/9/2018,100,,,,0
8/10/2018,85,,,,226
8/11/2018,65,3,,,29
8/12/2018,52,12,,,102
8/13/2018,50,18,,,188
8/14/2018,85,64,,,232
8/15/2018,66,81,,,7
8/16/2018,55,86,,,0
8/17/2018,48,92,,,0
8/18/2018,42,91,,,3
8/19/2018,38,90,,,7
8/20/2018,35,89,,,17
8/21/2018,33,90,,,23
8/22/2018,36,22,,,31
8/23/2018,41,89,,,2
8/24/2018,43,30,,,34
8/25/2018,49,43,,,3
8/26/2018,47,43,,,13
8/27/2018,49,63,,,93
8/28/2018,78,35,,,148
8/29/2018,73,47,,,27
8/30/2018,56,48,,,6
8/31/2018,50,56,,,11
9/1/2018,52,70,,,9
9/2/2018,56,92,,,44
9/3/2018,49.5,92,,,30
9/4/2018,43,90,,,25
9/5/2018,38.5,90,,,3
9/6/2018,36,90,,,11
9/7/2018,33.5,91,,,2
9/8/2018,32,93,,,0
