Date,Staff Gauge (cm),Rain Gauge (mm),Water Temp (°C),Air Temp (°C),Daily Escapement
6/30/2021,42,0,11,14,0
7/1/2021,37,2,16,14.5,0
7/2/2021,35,4,15,12.5,0
7/3/2021,32.5,4,16,13.5,0
7/4/2021,31.5,6.5,16,12.5,0
7/5/2021,30,6.5,15,13,0
7/6/2021,30,6.5,15,13.5,0
7/7/2021,28,7,15,12,0
7/8/2021,27,10,15,12,0
7/9/2021,27,16,15,12,0
7/10/2021,26,16,16,13,0
7/11/2021,28,16,16,12,0
7/12/2021,29,25,15,12,3
7/13/2021,35,39,15,13,0
7/14/2021,42,49,15,12,2
7/15/2021,42,48,16,15,0
7/16/2021,40,52,16,12.5,26
7/17/2021,36.5,53,16,14,13
7/18/2021,34,55,16,14,17
7/19/2021,34,62,16,14,9
7/20/2021,32,62,16,13,18
7/21/2021,30,65,16,16,24
7/22/2021,29,65,16,13,7
7/23/2021,29,71,15,12,12
7/24/2021,43,80,15,13,3
7/25/2021,41,80,16,14,6
7/26/2021,37,80,16,13,2
7/27/2021,33,78,17,15,10
7/28/2021,32,78,17,12,1
7/29/2021,31,76,18,17,1
7/30/2021,28,76,19,21,0
7/31/2021,26,76,18,16,0
8/1/2021,25,74,18,17,0
8/2/2021,25,74,18,17,0
8/3/2021,24,74,17,15,0
8/4/2021,26,90,17,15,193
8/5/2021,28,9,17,15,535
8/6/2021,30,11,16,15,655
8/7/2021,36,25,16,14.5,864
8/8/2021,38,26,17,13,274
8/9/2021,55,56,16,13,804
8/10/2021,62,18,16,14,901
8/11/2021,57,25,15,16,318
8/12/2021,76,55,15,15,896
8/13/2021,100,,,,0
8/14/2021,100,,15,13,200
8/15/2021,68,11,14,11,69
8/16/2021,54,11,14,12.5,38
8/17/2021,45,12,15,13,273
8/18/2021,66,66,14,14,292
8/19/2021,64,76,14,14,34
8/20/2021,57,76,14,14,68
8/21/2021,50,79,14,12.5,25
8/22/2021,42,79,15,11,17
8/23/2021,38,79,15,11,115
8/24/2021,35,12,15,13,41
8/25/2021,32,13,14,13,32
8/26/2021,32,13,15,12,24
8/27/2021,32,23,15.5,12.5,37
8/28/2021,55,67,15,11,402
8/29/2021,56,73,14.5,12,100
8/30/2021,48,1.5,15,12,4
8/31/2021,41,1.5,15,13,4
9/1/2021,37,1.4,16,13,16
9/2/2021,46.5,29,16,13,68
9/3/2021,58.5,51,15,13.5,44
9/4/2021,58,73,15,13,8
9/5/2021,55,86,16,13,
