parameter,estimate
r,84
c,611
n,6924.666666666667
recap_prop,0.13747954173486088
lwr95,5759.1287128712875
upr95,8554
cv,10.133163718026372
ricker_lwr95,56458.24705070051
ricker_upr95,378370.80638904084
