parameter,estimate
weir_count,7262
marked,952
marked_prop,0.13109336270999725
sampled,329
sample_prop,0.045304323877719634
peak_daily,1361
peak_weekly,3703
stat_wk_peak,33
peak_wk_prop,0.509914624070504
weir_days,58
